mes,año,consumo_gas_kg,cantidad_usuarios,temp_max_rg,temp_min_rg,temp_media_rg,precipitacion_rg,nieve_rg,temp_max_ush,temp_min_ush,temp_media_ush,precipitacion_ush,nieve_ush
ENERO,2014,619090.0,4868.0,14.6,4.4,9.4,32.0,0,8.5,7.3,7.9,40.8,0
FEBRERO,2014,645720.0,4966.0,15.7,5.6,10.4,36.2,0,9.2,8.0,8.6,24.6,0
MARZO,2014,696210.0,4982.0,12.9,3.2,7.5,51.0,0,6.7,5.7,6.2,115.0,1
ABRIL,2014,717420.0,4888.0,10.6,1.8,5.7,29.0,0,6.6,5.6,6.1,24.8,1
MAYO,2014,1377010.0,5106.0,7.1,0.3,3.6,25.0,0,4.9,3.8,4.4,36.8,3
JUNIO,2014,1448205.0,5291.0,4.3,-1.6,1.4,39.8,3,2.7,1.9,2.3,19.6,1
JULIO,2014,1476035.0,5249.0,4.0,-1.7,1.1,34.0,3,2.8,1.9,2.4,44.8,5
AGOSTO,2014,1483360.0,5337.0,5.7,-0.4,2.4,50.6,5,3.2,2.3,2.8,57.2,7
SEPTIEMBRE,2014,1469655.0,5318.0,7.9,1.1,4.0,40.6,3,4.4,3.5,4.0,29.4,2
OCTUBRE,2014,827295.0,5459.0,11.3,2.2,6.5,17.5,0,6.7,5.5,6.1,35.0,5
NOVIEMBRE,2014,864300.0,5485.0,13.3,3.6,8.6,27.0,0,7.4,6.2,6.8,38.8,0
DICIEMBRE,2014,806455.0,5477.0,14.8,5.2,10.2,52.0,0,8.6,7.5,8.0,61.8,0
ENERO,2015,704205.0,5534.0,16.7,5.6,11.3,5.9,0,14.3,5.3,9.5,29.0,0
FEBRERO,2015,744285.0,5535.0,16.3,5.5,10.5,26.1,0,13.9,4.6,8.9,44.2,0
MARZO,2015,813460.0,5525.0,15.1,6.0,9.8,19.4,0,13.9,4.7,9.52,48.0,0
ABRIL,2015,917345.0,5573.0,11.2,1.6,5.7,41.9,0,10.2,2.2,5.9,39.0,2
MAYO,2015,1638965.0,5780.0,7.2,1.0,3.8,78.0,0,6.4,0.5,3.2,70.6,5
JUNIO,2015,1850500.0,5961.0,3.6,-1.2,1.1,34.0,2,4.0,-1.2,1.3,89.7,10
JULIO,2015,2038280.0,6031.0,3.1,-2.2,5.5,55.1,8,3.7,-2.6,0.4,40.5,11
AGOSTO,2015,1811740.0,6056.0,5.2,-0.6,1.8,52.9,2,5.7,-1.4,2.0,68.7,7
SEPTIEMBRE,2015,1696750.0,6103.0,8.0,-0.6,3.0,2.5,0,3.7,1.8,2.5,69.6,10
OCTUBRE,2015,1058747.0,6171.0,10.7,1.4,6.0,3.2,0,7.6,5.8,6.4,34.6,1
NOVIEMBRE,2015,1107095.0,6222.0,14.0,3.7,9.1,17.3,0,12.4,3.9,8.0,50.4,2
DICIEMBRE,2015,1066347.0,6214.0,14.1,3.3,9.2,26.8,0,13.2,3.8,8.1,41.2,1
ENERO,2016,977249.0,6278.0,17.3,6.2,11.8,13.2,0,13.9,5.8,9.6,28.2,1
